cluster,month,total_transactions,total_spend,ipsos_mean,cons_conf_mean
0,2021-01,508,5497282.34,31.7,83.2669
0,2021-02,443,5110385.91,32.0,84.5152
0,2021-03,508,5345642.85,33.6,86.6538
0,2021-04,510,5443883.85,32.0,80.1716
0,2021-05,521,5726836.4399999995,30.0,77.2622
0,2021-06,490,5330432.61,28.5,81.7228
0,2021-07,548,5963263.9399999995,30.0,79.4772
0,2021-08,508,5722590.15,28.7,78.2191
0,2021-09,521,5552311.45,29.4,79.6503
0,2021-10,569,6332446.83,28.9,76.7812
0,2021-11,487,5147473.96,30.3,71.1483
0,2021-12,547,5739733.56,28.7,68.9133
0,2022-01,517,5667814.86,29.3,73.21
0,2022-02,436,4694482.16,29.199999999999996,71.15
0,2022-03,565,6021238.31,30.2,72.53
0,2022-04,494,5339795.34,28.5,67.27
0,2022-05,569,6093364.27,29.3,67.57
0,2022-06,537,5958935.58,28.0,63.36
0,2022-07,530,5796926.88,27.0,68.03
0,2022-08,545,5848668.2,27.0,72.16
0,2022-09,523,5870098.83,30.6,72.35
0,2022-10,533,6047190.03,33.9,76.15
0,2022-11,475,5223809.53,34.1,76.63
0,2022-12,529,5934842.09,34.4,75.64
0,2023-01,498,5424323.45,34.0,79.1
0,2023-02,516,5792163.53,34.4,82.5
0,2023-03,137,1472672.17,31.599999999999998,80.13
